#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
   1.66444     -6.901070  0.604  0.006  0.002  0.008  0.002  0.000  0.000  0.000  0.000  0.624
   1.61052     -6.846837  0.622  0.008  0.002  0.008  0.002  0.000  0.000  0.000  0.000  0.642
   1.55660     -6.786258  0.644  0.008  0.004  0.010  0.000  0.000  0.000  0.000  0.000  0.664
   1.50268     -6.736454  0.664  0.006  0.004  0.010  0.000  0.000  0.000  0.000  0.000  0.684
   1.44876     -6.716762  0.672  0.006  0.004  0.009  0.000  0.000  0.000  0.000  0.000  0.692
   1.44876     -6.716762  0.672  0.006  0.004  0.009  0.000  0.000  0.000  0.000  0.000  0.692
   1.41024     -6.726616  0.670  0.007  0.003  0.009  0.000  0.000  0.000  0.000  0.000  0.690
   1.37172     -6.755236  0.663  0.008  0.003  0.008  0.000  0.000  0.000  0.000  0.000  0.683
   1.33320     -6.800075  0.654  0.009  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.673
   1.29468     -6.857644  0.643  0.010  0.003  0.005  0.000  0.000  0.000  0.000  0.000  0.662
   1.25616     -6.924210  0.631  0.011  0.003  0.003  0.000  0.000  0.000  0.000  0.000  0.649
   1.21764     -6.996280  0.620  0.011  0.003  0.002  0.000  0.000  0.000  0.000  0.000  0.638
   1.17911     -7.070840  0.610  0.011  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.627
   1.14059     -7.145397  0.601  0.011  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.617
   1.10207     -7.217951  0.594  0.009  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.609
   1.06355     -7.286925  0.588  0.008  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.601
   1.02503     -7.351074  0.583  0.007  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.595
   0.98651     -7.409427  0.578  0.006  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.589
   0.94799     -7.461230  0.575  0.005  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.585
   0.90947     -7.505897  0.572  0.003  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.581
   0.87095     -7.542981  0.570  0.002  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.578
   0.83243     -7.572143  0.569  0.001  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.576
   0.79391     -7.593138  0.567  0.000  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.574
   0.75539     -7.605800  0.567  0.000  0.003  0.000  0.000  0.000  0.001  0.001  0.001  0.573
   0.71687     -7.610030  0.566  0.000  0.003  0.000  0.000  0.000  0.001  0.001  0.001  0.572
   0.71687     -7.610030  0.566  0.000  0.003  0.000  0.000  0.000  0.001  0.001  0.001  0.572
   0.67914     -7.554878  0.560  0.000  0.002  0.000  0.000  0.000  0.000  0.002  0.000  0.566
   0.64141     -7.485122  0.552  0.000  0.002  0.002  0.000  0.000  0.000  0.002  0.000  0.560
   0.60368     -7.401725  0.546  0.000  0.002  0.002  0.000  0.000  0.000  0.002  0.000  0.554
   0.56595     -7.305837  0.540  0.000  0.002  0.004  0.000  0.000  0.000  0.002  0.000  0.548
   0.52822     -7.198768  0.534  0.000  0.004  0.004  0.000  0.000  0.000  0.002  0.000  0.544
   0.49049     -7.082000  0.528  0.000  0.004  0.006  0.000  0.000  0.000  0.002  0.000  0.540
   0.45276     -6.957178  0.524  0.000  0.004  0.006  0.000  0.000  0.000  0.002  0.000  0.536
   0.41503     -6.826131  0.520  0.000  0.004  0.006  0.000  0.000  0.000  0.002  0.000  0.534
   0.37730     -6.690918  0.518  0.000  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.532
   0.33957     -6.553860  0.516  0.000  0.006  0.008  0.000  0.000  0.000  0.000  0.000  0.530
   0.30184     -6.417569  0.514  0.000  0.006  0.008  0.000  0.000  0.000  0.000  0.000  0.528
   0.26411     -6.284989  0.512  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.528
   0.22638     -6.159409  0.512  0.000  0.008  0.006  0.000  0.000  0.000  0.000  0.000  0.528
   0.18865     -6.044405  0.510  0.000  0.010  0.006  0.000  0.000  0.000  0.000  0.000  0.526
   0.15092     -5.943687  0.508  0.000  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.526
   0.11319     -5.860876  0.506  0.000  0.014  0.002  0.000  0.000  0.002  0.000  0.000  0.524
   0.07546     -5.799188  0.504  0.000  0.016  0.002  0.000  0.000  0.002  0.000  0.000  0.524
   0.03773     -5.761124  0.502  0.000  0.018  0.002  0.000  0.000  0.002  0.000  0.000  0.522
   0.00000     -5.748259  0.502  0.000  0.018  0.000  0.000  0.000  0.002  0.000  0.000  0.522
 
# Band-Index    5
   0.00000     -3.887189  0.150  0.000  0.210  0.004  0.000  0.000  0.008  0.000  0.000  0.372
   0.03773     -3.888053  0.146  0.000  0.210  0.004  0.000  0.000  0.008  0.000  0.000  0.368
   0.07546     -3.889594  0.134  0.000  0.212  0.004  0.000  0.000  0.008  0.000  0.000  0.358
   0.11319     -3.889191  0.118  0.000  0.212  0.004  0.000  0.000  0.008  0.000  0.000  0.344
   0.15092     -3.883798  0.102  0.000  0.212  0.004  0.000  0.000  0.008  0.000  0.000  0.326
   0.18865     -3.870900  0.086  0.000  0.212  0.004  0.000  0.000  0.008  0.000  0.000  0.312
   0.22638     -3.848916  0.072  0.000  0.212  0.004  0.000  0.000  0.010  0.000  0.000  0.296
   0.26411     -3.817145  0.060  0.000  0.210  0.004  0.000  0.000  0.010  0.000  0.000  0.284
   0.30184     -3.775528  0.050  0.000  0.210  0.002  0.000  0.000  0.010  0.002  0.000  0.274
   0.33957     -3.724407  0.042  0.000  0.208  0.002  0.000  0.000  0.010  0.002  0.000  0.264
   0.37730     -3.664351  0.036  0.000  0.206  0.002  0.000  0.000  0.012  0.002  0.000  0.256
   0.41503     -3.596051  0.030  0.000  0.204  0.002  0.000  0.000  0.012  0.002  0.000  0.250
   0.45276     -3.520273  0.026  0.000  0.200  0.002  0.000  0.000  0.012  0.002  0.000  0.242
   0.49049     -3.437851  0.022  0.000  0.198  0.000  0.000  0.000  0.012  0.004  0.000  0.236
   0.52822     -3.349701  0.018  0.000  0.194  0.002  0.000  0.000  0.012  0.004  0.000  0.230
   0.56595     -3.256844  0.016  0.000  0.188  0.002  0.000  0.000  0.014  0.004  0.000  0.224
   0.60368     -3.160464  0.014  0.000  0.184  0.002  0.000  0.000  0.014  0.004  0.000  0.218
   0.64141     -3.061973  0.010  0.000  0.178  0.002  0.000  0.000  0.014  0.004  0.000  0.210
   0.67914     -2.963124  0.008  0.000  0.170  0.004  0.000  0.000  0.016  0.004  0.000  0.202
   0.71687     -2.866160  0.005  0.000  0.160  0.007  0.000  0.000  0.017  0.004  0.001  0.195
   0.71687     -2.866160  0.005  0.000  0.160  0.007  0.000  0.000  0.017  0.004  0.001  0.195
