#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
   1.98796     -6.748544  0.116  0.028  0.036  0.026  0.000  0.000  0.000  0.000  0.000  0.208
   1.93404     -6.836522  0.104  0.030  0.034  0.028  0.002  0.000  0.000  0.000  0.000  0.196
   1.88012     -6.900739  0.092  0.030  0.034  0.028  0.002  0.000  0.000  0.000  0.000  0.184
   1.82620     -6.939378  0.080  0.032  0.034  0.026  0.002  0.000  0.000  0.000  0.000  0.172
   1.77228     -6.951614  0.068  0.032  0.034  0.026  0.002  0.000  0.000  0.000  0.000  0.160
   1.71836     -6.937974  0.056  0.032  0.034  0.024  0.002  0.000  0.000  0.000  0.000  0.148
   1.66444     -6.901070  0.046  0.030  0.034  0.020  0.004  0.000  0.000  0.000  0.000  0.136
   1.61052     -6.846837  0.038  0.030  0.036  0.016  0.004  0.000  0.002  0.000  0.000  0.124
   1.55660     -6.786258  0.030  0.028  0.038  0.012  0.004  0.000  0.002  0.000  0.000  0.114
   1.50268     -6.736454  0.026  0.026  0.040  0.008  0.004  0.000  0.002  0.000  0.000  0.106
   1.44876     -6.716762  0.024  0.024  0.042  0.005  0.005  0.000  0.002  0.000  0.000  0.101
   1.44876     -6.716762  0.024  0.024  0.042  0.005  0.005  0.000  0.002  0.000  0.000  0.101
   1.41024     -6.726616  0.024  0.023  0.041  0.007  0.005  0.000  0.002  0.000  0.000  0.103
   1.37172     -6.755236  0.025  0.021  0.041  0.011  0.005  0.000  0.001  0.000  0.000  0.105
   1.33320     -6.800075  0.026  0.019  0.040  0.018  0.004  0.000  0.001  0.000  0.000  0.108
   1.29468     -6.857644  0.027  0.015  0.039  0.026  0.004  0.000  0.001  0.000  0.000  0.112
   1.25616     -6.924210  0.028  0.012  0.037  0.034  0.004  0.000  0.002  0.000  0.000  0.116
   1.21764     -6.996280  0.030  0.010  0.035  0.041  0.003  0.000  0.002  0.000  0.000  0.119
   1.17911     -7.070840  0.030  0.007  0.034  0.047  0.002  0.000  0.001  0.000  0.000  0.123
   1.14059     -7.145397  0.031  0.005  0.032  0.053  0.002  0.000  0.001  0.000  0.000  0.126
   1.10207     -7.217951  0.032  0.004  0.031  0.057  0.002  0.000  0.001  0.000  0.000  0.129
   1.06355     -7.286925  0.033  0.003  0.031  0.061  0.002  0.000  0.001  0.000  0.000  0.131
   1.02503     -7.351074  0.033  0.002  0.030  0.064  0.001  0.000  0.001  0.000  0.000  0.133
   0.98651     -7.409427  0.034  0.001  0.029  0.067  0.001  0.000  0.001  0.000  0.000  0.133
   0.94799     -7.461230  0.034  0.001  0.029  0.070  0.000  0.000  0.001  0.000  0.000  0.135
   0.90947     -7.505897  0.034  0.001  0.028  0.071  0.000  0.000  0.001  0.000  0.000  0.136
   0.87095     -7.542981  0.034  0.000  0.028  0.072  0.000  0.000  0.001  0.000  0.000  0.137
   0.83243     -7.572143  0.035  0.000  0.028  0.073  0.000  0.000  0.001  0.000  0.000  0.138
